name,lat,lng,type,size,Primary Market,Airing,Initial support from the Corporation for Public Broadcasting,PRX Dovetail hosts,Testimonial,audio,Podcast Portfolio,Total Donors,To PRX,To Radiotopia,To <i>Ear Hustle</i>,To <i>The World</i>,Other,Downloads in FY25,Shows
WUSF-FM:,28.274347,-82.3885783,broadcast,xlarge,"Tampa-St. Petersburg-Clearwater, FL",Latino USA | Christopher Kimball's Milk Street Radio | PRX Remix | Reveal | Snap Judgment | Sound Opinions | The Moth Radio Hour | The World | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,10
WVOF-FM:,41.1408363,-73.2612615,broadcast,xlarge,"Fairfield, CT",Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge,,,,,,,,,,,,,10
WRLI-FM:,40.884267,-72.3895296,broadcast,xlarge,"Southampton, NY",Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge,,,,,,,,,,,,,10
WNPR-FM:,41.6677679,-72.7818751,broadcast,xlarge,"Hartford-New Britain-Middletown, CT",Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge,,,,,,,,,,,,,10
WEDW-FM:,41.0527986,-73.5394821,broadcast,xlarge,"Stamford, CT",Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge,,,,,,,,,,,,,10
WECS-FM:,41.7106543,-72.2081338,broadcast,xlarge,"Willimantic, CT",Afropop Worldwide | Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The World | To the Best of Our Knowledge,,,,,,,,,,,,,10
KUHF-FM:,29.7600771,-95.3701108,broadcast,xlarge,"Houston-Galveston, TX","Embodied | Latino USA | Left, Right & Center | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | Think",,,,,,,,,,,,,10
KUND-FM:,47.9252568,-97.0328547,broadcast,xlarge,"Grand Forks, ND",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
KPRJ-FM:,46.9105438,-98.7084357,broadcast,xlarge,"Jamestown, ND",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
KPPW-FM:,48.1469683,-103.6179745,broadcast,xlarge,"Williston, ND",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
Prairie Public (KPPD-FM):,48.112779,-98.8651202,broadcast,xlarge,"Devils Lake, ND",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
KMPR-FM:,48.2329668,-101.2922906,broadcast,xlarge,"Minot, ND",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
KDPR-FM:,46.8791756,-102.7896242,broadcast,xlarge,"Dickinson, ND",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
KCND-FM:,46.8041643,-100.7877616,broadcast,xlarge,"Bismarck, ND",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
WPKT-FM:,41.7658043,-72.6733723,broadcast,xlarge,"Hartford, CT",Embodied | Latino USA | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Ezra Klein Show | The Moth Radio Hour | To the Best of Our Knowledge,,,,,,,,,,,,,9
WMNF-FM3:,28.274347,-82.3885783,broadcast,xlarge,"Tampa-St. Petersburg-Clearwater, FL",Embodied | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | Sound Opinions | The Moth Radio Hour | The World | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
KVNC-FM:,39.6433243,-106.3780801,broadcast,xlarge,"Vail, CO","Left, Right & Center | Live Wire | Living On Earth | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think | This American Life",,,,,,,,,,,,,9
KUNC-FM:,40.5852602,-105.084423,broadcast,xlarge,"Ft. Collins-Greeley, CO","Left, Right & Center | Live Wire | Living On Earth | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think | This American Life",,,,,,,,,,,,,9
KRNC-FM:,40.4849769,-106.8317158,broadcast,xlarge,"Steamboat Springs, CO","Left, Right & Center | Live Wire | Living On Earth | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think | This American Life",,,,,,,,,,,,,9
KENC-FM:,40.3772059,-105.5216651,broadcast,xlarge,"Estes Park, CO","Left, Right & Center | Live Wire | Living On Earth | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think | This American Life",,,,,,,,,,,,,9
WSLU-FM:,44.5956163,-75.1690942,broadcast,xlarge,"Canton, NY",Afropop Worldwide | No Small Endeavor | Reveal | Selected Shorts | Snap Judgment | Sound Opinions | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,9
WMEW-FM:,44.5520105,-69.6317121,broadcast,xlarge,"Waterville, ME",Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life,,,,,,,,,,,,,9
WMEP-FM:,44.2097928,-69.0647838,broadcast,xlarge,"Camden, ME",Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life,,,,,,,,,,,,,9
WMEM-FM:,46.681153,-68.0158615,broadcast,xlarge,"Presque Isle, ME",Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life,,,,,,,,,,,,,9
WMEH-FM:,44.8016128,-68.7712257,broadcast,xlarge,"Bangor, ME",Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life,,,,,,,,,,,,,9
WMEF-FM:,47.2586502,-68.589491,broadcast,xlarge,"Fort Kent, ME",Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life,,,,,,,,,,,,,9
WMED-FM:,45.1889633,-67.2786038,broadcast,xlarge,"Calais, ME",Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life,,,,,,,,,,,,,9
WMEA-FM:,43.670822,-70.2843825,broadcast,xlarge,"Portland, ME",Echoes | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | This American Life,,,,,,,,,,,,,9
KWSU-AM:,46.7323875,-117.0001651,broadcast,xlarge,"Pullman, WA, Lewiston, ID, Moscow, ID",Latino USA | Live Wire | Living On Earth | Reveal | Selected Shorts | Snap Judgment | The World | This American Life | To the Best of Our Knowledge,,,,,,,,,,,,,9
KSKA-FM:,61.2175758,-149.8996785,broadcast,xlarge,"Anchorage, AK","Afropop Worldwide | Embodied | Latino USA | Left, Right & Center | No Small Endeavor | Reveal | Snap Judgment | The Moth Radio Hour | The World",,,,,,,,,,,,,9
WUOT-FM2:,35.965266,-83.923304,broadcast,xlarge,"Knoxville, TN",Afropop Worldwide | Echoes | Innovation Hub | Live Wire | Living On Earth | Selected Shorts | Snap Judgment | The Moth Radio Hour | The World,,,,,,,,,,,,,9
WFHE-FM:,35.7344538,-81.3444573,broadcast,xlarge,"Hickory, NC",Latino USA | Living On Earth | PRX Remix | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think,,,,,,,,,,,,,9
WFAE-FM:,35.2621735,-81.1870849,broadcast,xlarge,"Charlotte-Gastonia-Rock Hill, NC",Latino USA | Living On Earth | PRX Remix | Reveal | Snap Judgment | The Moth Radio Hour | The Sam Sanders Show | The World | Think,,,,,,,,,,,,,9
WNYE-FM:,40.7127753,-74.0059728,broadcast,xlarge,"New York, NY",Echoes | Innovation Hub | Jazz After Hours | Latino USA | PRX Remix | Reveal | The World | Think | Zorba,,,,,,,,,,,,,9
KBSY-FM:,42.5357428,-113.7927948,broadcast,xlarge,"Burley, ID",Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge,,,,,,,,,,,,,8
Boise State Public Radio (KBSX-FM):,43.6150186,-116.2023137,broadcast,xlarge,"Boise, ID",Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge,,,,,,,,,,,,,8
KBSS-FM:,43.6971294,-114.3517172,broadcast,xlarge,"Sun Valley, ID",Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge,,,,,,,,,,,,,8
KBSQ-FM:,44.906183,-116.1171311,broadcast,xlarge,"McCall, ID",Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge,,,,,,,,,,,,,8
KBSJ-FM:,41.9841401,-114.6724061,broadcast,xlarge,"Jackpot, NV",Afropop Worldwide | Latino USA | Snap Judgment | Sound Opinions | The Ezra Klein Show | The Moth Radio Hour | The Sam Sanders Show | To the Best of Our Knowledge,,,,,,,,,,,,,8
WHQR-FM:,34.2103894,-77.8868117,broadcast,xlarge,"Wilmington, NC",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Selected Shorts | Snap Judgment | The Moth Radio Hour | This American Life,,,,,,,,,,,,,8
WVWV-FM:,38.4191481,-82.4451746,broadcast,xlarge,"Huntington, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVWS-FM:,38.4792749,-80.4134157,broadcast,xlarge,Webster Springs,Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVPW-FM:,38.9939872,-80.2320276,broadcast,xlarge,"Buckhannon, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVPM-FM:,39.6304078,-79.954468,broadcast,xlarge,"Morgantown, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
West Virginia Public Radio (WVPG-FM):,39.2642138,-81.5607464,broadcast,xlarge,"Parkersburg, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVPB-FM:,38.3498195,-81.6326234,broadcast,xlarge,"Charleston, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVNP-FM:,40.0645386,-80.720417,broadcast,xlarge,"Wheeling, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVKM-FM:,37.6220489,-82.1631893,broadcast,xlarge,"Matewan, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
WVEP-FM:,39.4562099,-77.9638869,broadcast,xlarge," Martinsburg, WV",Live Wire | Living On Earth | Christopher Kimball's Milk Street Radio | Reveal | Snap Judgment | The Moth Radio Hour | The World | This American Life,,,,,,,,,,,,,8
